customer_id,product_category,product_price,quantity,total_purchase_amount,payment_method,customer_age,returns,customer_name,age,gender,churn,date_of_purchase,time_of_purchase
30426,Books,399,1,4068,Credit Card,61,1.0,Aaron Alexander,61,Female,1,2020-10-12,22:26:27
10025,Home,66,1,1550,Credit Card,69,0.0,Aaron Bradley,69,Male,1,2021-03-17,16:36:31
4951,Clothing,210,4,4876,Cash,24,0.0,Aaron Carroll,24,Female,1,2021-06-30,02:56:03
41135,Clothing,54,4,2044,Cash,44,1.0,Aaron David,44,Female,1,2022-01-06,04:24:26
17580,Home,470,3,4705,Cash,67,1.0,Aaron Drake,67,Male,1,2022-05-18,21:46:44
41024,Home,311,3,2962,Credit Card,31,0.0,Aaron Dudley,31,Male,1,2022-03-25,07:38:54
14042,Clothing,120,3,3364,Crypto,23,1.0,Aaron Gonzalez,23,Female,1,2021-04-03,20:25:38
37100,Clothing,45,2,2758,Crypto,23,1.0,Aaron Hill,23,Female,1,2022-03-05,18:40:27
12304,Clothing,410,5,1366,Credit Card,53,0.0,Aaron Hull,53,Female,1,2022-03-31,23:52:32
24996,Electronics,455,1,2239,Credit Card,62,1.0,Aaron Kennedy,62,Male,1,2021-09-22,13:12:43
44749,Clothing,306,4,2097,Credit Card,34,1.0,Aaron Martinez,34,Female,1,2020-10-25,03:40:48
47411,Electronics,282,2,1589,Credit Card,46,0.0,Aaron Mclaughlin,46,Female,1,2021-06-30,16:47:37
34025,Electronics,288,2,1823,Cash,70,0.0,Aaron Morris,70,Male,1,2021-05-23,08:24:38
33404,Clothing,434,1,691,PayPal,54,0.0,Aaron Rose,54,Female,1,2021-08-11,08:39:05
23195,Books,283,4,872,Cash,47,0.0,Aaron Santana,47,Female,1,2020-01-11,00:36:54
39828,Home,69,3,2408,Credit Card,36,0.0,Aaron Tate,36,Male,1,2021-10-22,16:35:07
28610,Books,119,2,3651,PayPal,52,0.0,Aaron Taylor,52,Female,1,2020-09-03,04:50:35
21146,Home,489,5,4582,Credit Card,40,1.0,Aaron Waters,40,Female,1,2020-07-22,20:29:34
47771,Clothing,385,3,2352,Credit Card,29,0.0,Aaron Woodward,29,Female,1,2023-04-07,09:47:54
39251,Home,65,5,4824,Cash,26,1.0,Abigail Blankenship,26,Male,1,2022-09-02,18:44:30
31379,Books,353,2,4021,Cash,42,1.0,Abigail Christensen,42,Male,1,2020-02-27,09:59:14
10420,Books,366,5,4008,Cash,29,1.0,Abigail Martinez,29,Female,1,2022-02-19,16:03:05
